MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       291.70,       298.95,       306.15,       297.00,       305.50,                 32875632.00,108000, ,       757.25,       282.75
N,SM,ESPRIT,ESPRIT STONES LIMITED,        78.00,        77.05,        79.95,        75.05,        75.40,                  2464640.00,32000, ,       159.45,        75.05
N,SM,ETML,EMERALD TYRE MANUF LTD,       125.00,       125.40,       125.40,       125.00,       125.00,                   300480.00,2400, ,       198.95,        96.10
N,SM,EXCELLENT,EXCELLENT WIRES N PACK L,        47.55,        42.50,        47.50,        42.00,        47.20,                   362720.00,8000, ,        76.00,        42.00
N,SM,FELIX,FELIX INDUSTRIES LTD.,       194.35,       199.80,       199.80,       191.25,       193.15,                  2897625.00,15000, ,       316.80,       108.00
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       180.00,       168.00,       173.00,       168.00,       169.00,                   848250.00,5000, ,       234.00,       109.00
N,SM,FOCE,FOCE INDIA LIMITED,      1807.20,      1894.00,      1894.00,      1894.00,      1894.00,                   189400.00,100, ,      1980.00,      1226.00
N,SM,FORCAS,FORCAS STUDIO LIMITED,       107.25,       105.55,       107.85,       105.55,       106.25,                  2217920.00,20800, ,       129.80,        65.05
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       180.15,       186.00,       186.00,       168.00,       169.60,                  7971540.00,45600, ,       221.95,       110.00
N,SM,FROG,FROG CELLSAT LIMITED,       237.45,       236.20,       243.95,       234.00,       240.20,                  3832600.00,16000, ,       458.00,       211.15
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,        11.80,        11.85,        11.85,        11.85,        11.85,                    35550.00,3000, ,        33.00,        11.55
N,SM,GANESHIN,GANESH INFRAWORLD LIMITED,       229.10,       230.00,       232.85,       216.00,       219.70,                 21540440.00,96800, ,       279.80,       106.25
N,SM,GGBL,GANESH GREEN BHARAT LTD,       390.50,       390.00,       402.50,       386.00,       394.40,                 14175555.00,36000, ,       635.00,       282.20
N,SM,GICL,GLOBE INTL CARRIERS LTD,       164.65,       165.95,       167.00,       160.00,       164.60,                 11109450.00,67500, ,       169.95,        52.00
N,SM,GOLDSTAR,GOLDSTAR POWER LIMITED,         8.65,         8.50,         8.90,         8.50,         8.85,                   295312.50,33750, ,        13.50,         7.20
N,SM,GOYALSALT,GOYAL SALT LIMITED,       170.00,       170.00,       176.70,       170.00,       174.80,                  3982050.00,22800, ,       241.70,       142.00
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        63.00,        63.25,        64.00,        61.10,        63.85,                   653520.00,10400, ,        90.00,        54.55
N,SM,GSTL,GLOBESECURE TECHNO LTD,         8.50,         8.50,         8.80,         8.10,         8.15,                   428800.00,51000, ,        51.90,         8.10
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       216.00,       215.05,       223.00,       215.00,       220.00,                  3169320.00,14400, ,       340.90,       183.25
N,SM,HOACFOODS,HOAC FOODS INDIA LIMITED,       243.10,       245.00,       248.85,       237.05,       237.05,                  2021175.00,8250, ,       277.65,       105.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,       111.10,       112.00,       116.65,       105.55,       105.55,                  6265837.50,57000, ,       214.00,       104.00
N,SM,HPTL,HP TELECOM INDIA LIMITED,       274.95,       280.00,       287.50,       280.00,       287.50,                   681000.00,2400, ,       287.50,       101.05
N,SM,HRHNEXT,HRH NEXT SERVICES LIMITED,        32.20,        31.00,        31.00,        31.00,        31.00,                   186000.00,6000, ,       125.60,        28.75
N,SM,HVAX,HVAX TECHNOLOGIES LIMITED,       970.00,       963.00,       963.00,       963.00,       963.00,                   288900.00,300, ,      1029.30,       461.70
N,SM,IBLFL,IBL FINANCE LIMITED,        64.30,        64.30,        67.50,        64.30,        67.45,                  1466700.00,22000, ,        82.00,        45.45
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        42.10,        42.10,        42.95,        41.15,        42.95,                   504600.00,12000, ,        99.75,        38.00
N,SM,IEML,INDIAN EMULSIFIERS LTD,       147.50,       147.50,       147.50,       139.00,       140.65,                  2745475.00,19500, ,       309.85,        98.45
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       454.95,       455.00,       455.00,       447.00,       449.20,                  2163020.00,4800, ,       575.00,       257.00
N,SM,INM,INTERIORS & MORE LIMITED,       601.00,       624.90,       624.90,       612.00,       620.00,                  2605770.00,4200, ,       633.00,       284.50
N,SM,INNOMET,INNOMET ADVANCED MATERI L,       159.00,       163.00,       163.00,       162.80,       162.80,                   390960.00,2400, ,       239.95,       100.00
N,SM,INSPIRE,INSPIRE FILMS LIMITED,        16.80,        16.80,        16.80,        16.80,        16.80,                   134400.00,8000, ,        35.50,        16.30
N,SM,INTEGRITY,INTEGRITY INFRABUILD DE L,       100.05,       101.00,       101.00,       101.00,       101.00,                  7272000.00,72000, ,       110.10,        81.70
N,SM,IPHL,INDIAN PHOSPHATE LIMITED,        53.50,        53.50,        53.50,        52.90,        52.90,                   127680.00,2400, ,       119.00,        42.40
N,SM,IPSL,INTEGRATED PERSO SER LTD,       348.00,       364.95,       364.95,       300.00,       308.65,                  3549650.00,11500, ,       398.00,       190.40
N,SM,ITALIANE,ITALIAN EDIBLES LIMITED,        37.95,        37.00,        37.00,        36.00,        36.15,                   366200.00,10000, ,        67.60,        29.20
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,         4.55,         4.40,         4.70,         4.35,         4.70,                   231300.00,51000, ,        14.60,         3.80
N,SM,JAYBEE,JAY BEE LAMINATIONS LTD,       200.15,       204.95,       204.95,       200.00,       201.10,                  3526575.00,17500, ,       456.00,       178.05
