Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%,Next_M_o_M%
NIFTY Financial Services,MFSL,1697.90,1710.10,12.20,95.22,88.32,0.81,0.48,6.89,0.32,11.40,0
NIFTY Financial Services,MUTHOOTFIN,3681.40,3703.40,22.00,86.11,82.37,0.33,0.36,3.74,-0.03,15.69,0
NIFTY Financial Services,NUVAMA,6972.50,7017.50,45.00,89.26,83.67,0.63,0.38,5.60,0.25,-6.32,0
NIFTY Financial Services,PAYTM,1241.40,1246.70,5.30,96.25,92.71,0.78,0.65,3.54,0.13,-5.21,0
NIFTY Financial Services,PFC,361.40,359.80,-1.60,92.67,93.14,-0.33,0.28,-0.47,-0.61,-8.41,0
NIFTY Financial Services,PNBHOUSING,881.45,887.70,6.25,96.70,92.26,0.76,0.51,4.43,0.25,-5.58,0
NIFTY Financial Services,POLICYBZR,1765.90,1779.30,13.40,93.66,92.91,0.67,0.50,0.74,0.17,-0.51,0
NIFTY Financial Services,RECLTD,351.75,353.45,1.70,92.79,94.38,0.67,0.23,-1.59,0.44,-4.66,0
NIFTY Financial Services,SBICARD,873.40,878.00,4.60,79.46,92.81,0.30,-0.76,-13.36,1.06,-3.57,0
NIFTY Financial Services,SBILIFE,2031.00,2036.80,5.80,93.88,89.20,0.26,0.60,4.67,-0.34,4.86,0
NIFTY Financial Services,SHRIRAMFIN,838.25,843.45,5.20,95.70,95.58,0.47,0.42,0.12,0.05,15.83,0
NIFTY Healthcare,APOLLOHOSP,7330.50,7370.50,40.00,95.91,92.74,0.65,0.54,3.17,0.11,-6.98,0
NIFTY Healthcare,FORTIS,920.40,926.90,6.50,94.46,93.06,0.67,0.51,1.40,0.17,-12.92,0
NIFTY Healthcare,MAXHEALTH,1158.10,1162.90,4.80,94.77,94.68,0.69,0.58,0.10,0.11,-1.83,0
NIFTY Healthcare,SYNGENE,642.05,646.60,4.55,96.95,94.08,0.71,0.60,2.87,0.10,-2.35,0
